text,label
Transfer scheduled successfully to James Brown on 05/15/2026.,payment
Informativo: Sua conta agora tem acesso a novos fundos de investimento.,alert
Your Chase account requires immediate verification. Access: linkp.site/verificar,fraud
Attention: New security rules for wire transfers.,alert
Use the QR Code below to complete your payment at Walmart.,payment
Urgente: Sua conta foi bloqueada. Clique no link para regularizar: bit.ly/seguranca-ban,fraud
Transferência agendada com sucesso para Ana Costa no dia 15/05/2026.,payment
Sua conta Inter precisa de verificação imediata. Acesse: linkp.site/verificar,fraud
Comunicado importante sobre as taxas da sua conta corrente.,alert
Your account now has access to new investment funds.,alert
Important notice about your checking account fees.,alert
Confirmação de pagamento via PIX no valor de R$ 850 para Carlos Souza.,payment
Sua senha expira em 24h. Atualize aqui para evitar bloqueio: linkp.site/verificar,fraud
Bank of America Bank wishes you a great day!,info
Check your detailed statement in the 'Finances' menu.,info
Veja aqui o resumo dos seus gastos no último mês.,info
Comunicado importante sobre as taxas da sua conta corrente.,alert
Seu cartão de crédito final 7775 foi aprovado. Limite de R$ 131.,payment
"Warning: Suspicious transfer of $4007 detected. If it wasn't you, click: linkp.site/verificar",fraud
Saiba como economizar usando nossa nova ferramenta de metas.,info
O banco Banco do Brasil deseja um ótimo dia para você!,info
Learn how to save using our new goal-tracking tool.,info
Reminder: Update your address in the app to keep receiving statements.,alert
Transfer scheduled successfully to John Smith on 05/15/2026.,payment
We received a request to change your data. Wasn't you? seguro.vcc.com/atualizar,fraud
Attention: New security rules for wire transfers.,alert
Débito automático de R$ 517 realizado hoje.,payment
See here a summary of your spending last month.,info
Transfer scheduled successfully to James Brown on 05/15/2026.,payment
Sua conta Itaú precisa de verificação imediata. Acesse: seguro.vcc.com/atualizar,fraud
"Hello, how can I help you today?",info
Your account now has access to new investment funds.,alert
Information: Business hours have been extended until 8 PM.,info
Security alert: New device connected. Unlink it here: bit.ly/seguranca-ban,fraud
We received a request to change your data. Wasn't you? bit.ly/seguranca-ban,fraud
Important notice about your checking account fees.,alert
Your password expires in 24h. Update here to avoid being locked out: linkp.site/verificar,fraud
Your account now has access to new investment funds.,alert
Learn how to save using our new goal-tracking tool.,info
Seu boleto de R$ 859 vence amanhã. Pague agora e evite juros.,payment
Lembrete: Atualize seu endereço no aplicativo para continuar recebendo faturas.,alert
Your account now has access to new investment funds.,alert
Payment confirmation via wire transfer of $374 to James Brown.,payment
Your credit card ending in 6516 has been approved. Limit: $19.,payment
Learn how to save using our new goal-tracking tool.,info
Comunicado importante sobre as taxas da sua conta corrente.,alert
"Olá, como posso ajudar você hoje?",info
Débito automático de R$ 726 realizado hoje.,payment
Recebemos um pedido de alteração de dados. Não foi você? seguro.vcc.com/atualizar,fraud
"Olá, como posso ajudar você hoje?",info
Important notice about your checking account fees.,alert
Confirmação de pagamento via PIX no valor de R$ 61 para Carlos Souza.,payment
Confirmação de pagamento via PIX no valor de R$ 305 para João Silva.,payment
Notificação: Manutenção programada no sistema no dia sábado.,alert
Would you like to know more about our retirement plans?,info
Your password expires in 24h. Update here to avoid being locked out: linkp.site/verificar,fraud
Lembrete: Atualize seu endereço no aplicativo para continuar recebendo faturas.,alert
"Olá, como posso ajudar você hoje?",info
Alerta: Detectamos uma oscilação na sua conexão com o banco.,alert
Your password expires in 24h. Update here to avoid being locked out: linkp.site/verificar,fraud
Congratulations! You won a prize. Claim it by clicking the link: linkp.site/verificar,fraud
Discover the advantages of being a Premium client.,info
Comunicado importante sobre as taxas da sua conta corrente.,alert
Lembrete: Atualize seu endereço no aplicativo para continuar recebendo faturas.,alert
Sua conta Bradesco precisa de verificação imediata. Acesse: seguro.vcc.com/atualizar,fraud
"Aviso: Transferência suspeita de R$ 1278 detectada. Se não foi você, clique: seguro.vcc.com/atualizar",fraud
Sua senha expira em 24h. Atualize aqui para evitar bloqueio: seguro.vcc.com/atualizar,fraud
Urgent: Your account has been blocked. Click the link to resolve: linkp.site/verificar,fraud
Urgent: Your account has been blocked. Click the link to resolve: linkp.site/verificar,fraud
Attention: New security rules for wire transfers.,alert
See here a summary of your spending last month.,info
Saiba como economizar usando nossa nova ferramenta de metas.,info
Comunicado importante sobre as taxas da sua conta corrente.,alert
